OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,3215,983,4095,4670,258,5333,7786,7143,1445,7013
+,2242,9488,7360,3966,3565,3306,1109,2802,4746,3466
+,696,9439,2113,4068,6486,9532,2984,8403,3676,3417
+,4586,4710,3395,1466,7448,3153,3080,2944,5652,9760
+,3502,3890,9128,793,7501,8792,5309,4559,7075,6248
+,4806,1323,8791,527,1568,8257,5026,3357,7296,8118
+,919,2817,9869,2619,948,145,1332,2865,4450,6580
+,1368,751,1241,5657,4713,6591,8727,9228,1798,758
+,5823,8989,6699,7765,1667,4318,9876,6796,6125,8205
+,6369,8244,9880,4128,6081,3837,8893,4300,1812,321
-,2242,9488,7360,3966,3565,3306,1109,2802,4746,3466
+,4627,9779,7967,2573,6205,1147,7496,7835,2503,1219
+,4961,4639,6095,6941,6851,3494,1961,6060,1306,9546
+,7154,7913,4584,3676,1384,8383,9733,6371,5177,239
+,9278,7962,8478,9241,2154,2477,3902,1644,3863,512
+,9690,232,5328,3471,7298,7940,8312,1201,4693,5636
+,5209,720,4336,8858,4686,6468,9178,6376,1359,3279
+,6945,9089,4765,7320,9493,417,6569,815,2073,1140
+,3606,2427,9769,7184,217,5201,7316,7885,2673,9069
+,5537,8818,844,6732,7996,7255,8308,6362,4583,6198
+,2559,6901,7177,518,834,3760,9699,6860,2924,5756
-,696,9439,2113,4068,6486,9532,2984,8403,3676,3417
+,4342,9700,3099,1340,5401,3565,267,9608,8570,8671
+,6098,5347,6671,8638,1525,743,4355,294,5660,1632
+,6728,7896,4107,2348,2826,155,5486,3148,9493,8607
+,7764,9396,5401,6606,4528,7802,1252,709,7887,4453
+,403,3800,1158,747,5350,7686,477,572,6647,7822
+,5486,8905,3078,272,1488,9889,5811,7987,7691,1613
+,762,4871,5945,9538,8030,1130,6532,97,5242,7463
+,9855,645,4059,8372,1047,5404,6320,5340,5327,125
+,8059,8581,9000,3227,2679,4780,3405,4781,1230,9892
+,1057,3630,2950,2001,6267,650,1925,9846,8406,5543
-,4627,9779,7967,2573,6205,1147,7496,7835,2503,1219
+,852,8520,6410,2981,7574,5597,2804,6527,6780,9111
+,1104,9194,1679,817,5685,154,2025,9169,2815,6149
+,9484,3823,7429,8217,7291,2307,7942,8855,7290,2452
+,7718,1112,4607,7333,8210,2414,6735,7844,2408,2209
+,2679,6646,658,914,7304,8289,8089,3474,9983,4160
+,9,454,8447,1611,1688,1762,881,1732,2859,8305
+,6083,3941,3463,1764,6648,7353,5181,7689,3111,7439
+,5088,5153,4578,4539,3107,8026,7809,2417,8178,4791
+,4608,1289,2470,17,3115,5653,437,4630,1281,8268
+,5962,2130,1681,4128,6735,3448,490,5745,1135,9087
-,7764,9396,5401,6606,4528,7802,1252,709,7887,4453
+,3042,4557,5841,2657,2383,6128,7841,9659,934,9348
+,1341,1627,8706,6401,2466,7493,2277,2945,9155,9311
+,2697,1116,3411,1747,606,9296,6708,7332,1683,8414
+,9027,8440,5539,7218,184,7207,822,5991,2197,9250
+,6404,8920,5535,2765,919,8771,5556,5997,6818,9991
+,1287,8530,7507,2475,4728,5877,8028,7519,2211,2950
+,5400,6596,5396,4657,8947,4727,696,9426,4728,4160
+,8554,6539,4365,9264,7314,5386,3187,7229,1605,275
+,4016,8757,7162,3624,4942,5908,4609,2026,824,2620
+,3006,1585,6779,2832,2242,6110,5040,666,3970,4039
-,3502,3890,9128,793,7501,8792,5309,4559,7075,6248
+,8230,7529,8499,3579,3655,2242,3463,7953,9855,169
+,5648,436,7132,5817,9277,5544,3433,5669,253,1151
+,3055,4326,6857,312,488,9393,5276,1581,9287,631
+,8698,5141,9316,980,6591,1716,7875,3356,1816,8223
+,6024,9685,1905,860,8140,358,8884,2913,1555,7088
+,5745,4151,3639,943,1391,8594,6673,543,1348,8434
+,622,7279,2941,6681,1418,289,2562,9059,9489,8253
+,9625,3095,17,3615,2259,975,2177,7563,2851,491
+,2915,1570,4497,3939,4984,8163,1319,1981,638,6995
+,3633,3250,5871,5426,4282,6050,4597,92,987,5224
-,5209,720,4336,8858,4686,6468,9178,6376,1359,3279
+,3891,5858,1389,9395,8956,1418,3044,122,2491,3683
+,2788,8046,2531,1956,1427,9025,7705,5076,4949,9687
+,8081,50,2019,9487,1607,5369,4657,4565,3574,125
+,4629,2520,4913,9710,5997,8456,9950,4769,1099,933
+,718,9759,2844,1690,6185,7236,9152,8586,4416,3781
+,5893,9942,9987,4612,8893,5115,5947,1024,9470,8827
+,7391,5977,2534,1590,405,7351,8824,595,5575,7058
+,1711,5431,1770,6103,6520,5828,5154,1511,1563,4756
+,7985,1146,6937,8484,5340,3053,5190,5538,8058,8296
+,2016,1672,3588,8017,1550,9254,971,53,3292,939
-,6083,3941,3463,1764,6648,7353,5181,7689,3111,7439
+,946,5907,6631,4433,8347,2795,4361,2250,1048,6157
+,7315,1147,8355,4716,5889,1618,5889,9797,7341,2172
+,5824,8088,662,2004,3115,5578,7784,9903,456,5832
+,2099,455,8853,1678,7987,2296,2254,8995,7098,7912
+,5548,6256,8211,4397,6784,7351,3947,502,7291,3640
+,7556,5900,4846,6388,2493,1597,9349,5258,9884,3614
+,9475,1298,5563,2783,9395,5876,545,8371,6212,3744
+,9418,1185,5405,4538,1168,1370,4610,5324,531,3888
+,7268,8213,8024,2432,2685,2246,8802,909,8930,7542
+,3156,8271,6540,9547,7496,5921,5699,1125,3145,402
-,8698,5141,9316,980,6591,1716,7875,3356,1816,8223
+,8162,4798,4612,5564,2627,5230,8604,683,5191,5905
+,1586,7866,1165,4545,7578,1452,1635,6703,1872,9668
